71,2108,2163,2218,3416,-0.9,0.9
72,2047,2.1,2154,3417,-0.9,0.9
73,1987,2039,2093,3419,-0.9,0.9
74,1929,1981,2033,3420,-0.9,0.9
75,1874,1924,1976,3422,-0.9,0.9
76,1.82,1869,1.92,3423,-1,1
77,1768,1817,1866,3424,-1,1
78,1718,1765,1814,3426,-1,1
79,1669,1716,1764,3427,-1,1
80,1622,1668,1715,3428,-1,1
81,1577,1622,1668,3430,-1,1
82,1533,1577,1623,3431,-1,1
83,1.49,1534,1579,3432,-1.1,1.1
84,1449,1492,1536,3434,-1.1,1.1
85,1409,1451,1494,3435,-1.1,1.1
86,1371,1412,1454,3436,-1.1,1.1
87,1334,1374,1416,3437,-1.1,1.1
88,1298,1337,1378,3439,-1.1,1.1
89,1263,1302,1342,3440,-1.2,1.2
90,1229,1267,1306,3441,-1.2,1.2
91,1196,1234,1272,3442,-1.2,1.2
92,1164,1201,1239,3444,-1.2,1.2
93,1133,1.17,1207,3445,-1.2,1.2
94,1104,1139,1176,3446,-1.2,1.2
95,1075,1.11,1146,3447,-1.3,1.3
96,1047,1081,1117,3448,-1.3,1.3
97,1.02,1054,1088,3449,-1.3,1.3
98,993,1027,1061,3451,-1.3,1.3
99,968,1001,1034,3452,-1.3,1.3
100,943,975,1008,3453,-1.3,1.3
101,919,951,983,3454,-1.4,1.4
102,896,927,959,3455,-1.4,1.4
103,873,904,935,3456,-1.4,1.4
104,852,881,912,3457,-1.4,1.4
105,0.83,0.86,0.89,3458,-1.4,1.4
106,0.81,838,868,3459,-1.4,1.4
107,0.79,818,847,3460,-1.5,1.5
108,0.77,798,827,3461,-1.5,1.5
109,752,779,807,3462,-1.5,1.5
110,733,0.76,788,3463,-1.5,1.5
111,715,742,769,3464,-1.5,1.5
112,698,724,751,3465,-1.5,1.6
113,681,707,733,3466,-1.6,1.6
114,665,0.69,716,3467,-1.6,1.6
115,649,674,699,3468,-1.6,1.6
116,634,658,683,3469,-1.6,1.6
117,619,643,667,3470,-1.6,1.6
118,605,628,652,3471,-1.7,1.7
119,0.59,613,637,3472,-1.7,1.7
120,577,599,622,3473,-1.7,1.7
121,563,585,608,3474,-1.7,1.7
122,0.55,572,595,3475,-1.7,1.7
123,538,559,581,3476,-1.7,1.8
124,526,546,568,3477,-1.8,1.8
125,514,534,556,3478,-1.8,1.8
